geo_id,region,city,order_count
GEO-001,East,Bhubaneswar,264
GEO-002,East,Guwahati,255
GEO-003,East,Kolkata,331
GEO-004,East,Patna,142
GEO-005,East,Ranchi,258
GEO-006,North,Amritsar,268
GEO-007,North,Chandigarh,276
GEO-008,North,Delhi,279
GEO-009,North,Jaipur,215
GEO-010,North,Lucknow,234
GEO-011,South,Bangalore,252
GEO-012,South,Chennai,249
GEO-013,South,Coimbatore,192
GEO-014,South,Hyderabad,281
GEO-015,South,Kochi,345
GEO-016,West,Ahmedabad,265
GEO-017,West,Mumbai,129
GEO-018,West,Nagpur,302
GEO-019,West,Pune,169
GEO-020,West,Surat,294
