order_id,date_key,customer_id,product_id,geo_id,ship_mode,quantity,unit_price,discount,sales,profit,profit_margin,days_to_ship
ORD-04018,20210101,CUST-0055,PROD-014,GEO-015,Standard Class,2,429.59,0.25,644.38,215.84,33.5,5
ORD-02533,20210102,CUST-0021,PROD-047,GEO-014,Standard Class,3,3346.27,0.0,10038.81,3162.22,31.5,5
ORD-03487,20210102,CUST-0234,PROD-003,GEO-005,Standard Class,1,1828.46,0.05,1737.04,799.84,46.05,6
ORD-01167,20210102,CUST-0233,PROD-013,GEO-020,Standard Class,2,171.32,0.0,342.64,207.3,60.5,7
ORD-00524,20210103,CUST-0049,PROD-038,GEO-003,Second Class,3,1176.35,0.05,3352.6,1627.94,48.56,3
ORD-00997,20210104,CUST-0277,PROD-037,GEO-016,Same Day,1,3187.31,0.25,2390.48,607.42,25.41,2
ORD-04424,20210104,CUST-0255,PROD-005,GEO-011,Standard Class,2,3204.89,0.1,5768.8,1887.44,32.72,5
ORD-03336,20210105,CUST-0257,PROD-042,GEO-009,Second Class,4,1828.11,0.0,7312.44,2924.98,40.0,5
ORD-04299,20210106,CUST-0027,PROD-035,GEO-018,Second Class,1,18726.75,0.2,14981.4,1898.45,12.67,4
ORD-02490,20210107,CUST-0110,PROD-042,GEO-003,Standard Class,3,1776.94,0.0,5330.82,1961.74,36.8,7
ORD-00510,20210107,CUST-0298,PROD-030,GEO-018,Standard Class,1,571.8,0.1,514.62,176.4,34.28,7
ORD-04878,20210108,CUST-0225,PROD-049,GEO-020,Standard Class,3,2070.25,0.2,4968.6,1644.0,33.09,5
ORD-04954,20210108,CUST-0223,PROD-020,GEO-015,Standard Class,4,1201.92,0.2,3846.14,1421.53,36.96,5
ORD-04664,20210109,CUST-0146,PROD-036,GEO-020,First Class,1,8248.61,0.05,7836.18,1961.0,25.02,3
ORD-03148,20210109,CUST-0110,PROD-048,GEO-003,Standard Class,3,1483.58,0.1,4005.67,1571.38,39.23,6
ORD-04161,20210109,CUST-0202,PROD-034,GEO-003,Second Class,1,9566.05,0.1,8609.44,974.24,11.32,3
ORD-04603,20210109,CUST-0213,PROD-023,GEO-014,Standard Class,1,3670.68,0.0,3670.68,1387.51,37.8,7
ORD-04459,20210110,CUST-0271,PROD-050,GEO-002,Standard Class,1,1801.34,0.0,1801.34,745.75,41.4,5
ORD-02558,20210110,CUST-0095,PROD-049,GEO-013,Standard Class,5,1980.27,0.15,8416.15,3031.96,36.03,5
ORD-02141,20210111,CUST-0113,PROD-034,GEO-003,Standard Class,2,9552.35,0.05,18149.46,2279.21,12.56,7
ORD-03897,20210111,CUST-0047,PROD-023,GEO-002,Standard Class,1,3820.03,0.0,3820.03,1265.19,33.12,6
ORD-02073,20210112,CUST-0244,PROD-035,GEO-005,Standard Class,4,18160.1,0.05,69008.38,10399.28,15.07,5
ORD-04056,20210112,CUST-0295,PROD-013,GEO-008,Second Class,2,183.93,0.1,331.07,149.31,45.1,4
ORD-03741,20210113,CUST-0007,PROD-036,GEO-003,Standard Class,1,8208.04,0.0,8208.04,1887.85,23.0,6
ORD-02810,20210113,CUST-0295,PROD-041,GEO-008,Standard Class,1,24659.7,0.0,24659.7,5178.54,21.0,6
ORD-00464,20210113,CUST-0200,PROD-046,GEO-017,Standard Class,1,4416.01,0.2,3532.81,1119.2,31.68,7
ORD-00773,20210113,CUST-0030,PROD-041,GEO-015,Standard Class,2,25267.84,0.05,48008.9,9633.22,20.07,6
ORD-04903,20210114,CUST-0101,PROD-003,GEO-014,Standard Class,1,1869.22,0.05,1775.76,933.21,52.55,7
